FORMAT 2
KERNEL J
SOURCE (s|J|s)^(m)
SHELLS 5 4
ORDERS 5 9

# E <id> <alpha> <beta> <mu> <p>
T 4  25 14586 6006  90  9
T 4  2 13 1  119  9
T 4  14 143 1  120  9
T 4  -4 33 1  121  9
ROW -3 -2 18
T 0  -105 16 14  0  5
T 1  27 8 21  3  6
T 1  21 2 14  4  6
T 2  15 2 1  33  7
T 2  -9 4 21  14  7
T 2  -9 2 14  15  7
T 3  -125 132 2  34  8
T 3  -265 1716 66  68  8
T 3  -30 13 1  69  8
T 3  9 22 21  36  8
T 3  2 3 14  37  8
T 4  -21 2431 70  70  9
T 4  21 2431 1001  122  9
T 4  125 1122 2  72  9
T 4  265 14586 66  123  9
T 4  2 13 1  124  9
T 4  -3 143 21  74  9
T 4  -1 33 14  75  9
ROW -3 -1 13
T 1  3 8 105  5  6
T 2  -5 4 15  16  7
T 2  -1 4 105  17  7
T 3  815 1716 6  38  8
T 3  -5 66 33  45  8
T 3  5 13 15  39  8
T 3  1 22 105  40  8
T 4  21 4862 770  76  9
T 4  21 2431 715  87  9
T 4  -815 14586 6  78  9
T 4  5 561 33  89  9
T 4  -1 39 15  79  9
T 4  -1 429 105  80  9
ROW -3 0 10
T 1  -45 4 7  7  6
T 2  15 2 1  23  7
T 2  15 2 7  24  7
T 3  -115 858 30  54  8
T 3  -30 13 1  55  8
T 3  -15 11 7  56  8
T 4  -105 2431 33  101  9
T 4  115 7293 30  103  9
T 4  2 13 1  104  9
T 4  10 143 7  105  9
ROW -3 1 13
T 1  3 8 105  8  6
T 2  -5 4 15  25  7
T 2  -1 4 105  26  7
T 3  5 66 33  51  8
T 3  815 1716 6  57  8
T 3  5 13 15  58  8
T 3  1 22 105  59  8
T 4  -21 2431 715  96  9
T 4  21 4862 770  107  9
T 4  -5 561 33  98  9
T 4  -815 14586 6  108  9
T 4  -1 39 15  109  9
T 4  -1 429 105  110  9
ROW -3 2 18
T 0  -105 16 14  1  5
T 1  27 8 21  9  6
T 1  21 2 14  10  6
T 2  -15 2 1  21  7
T 2  -9 4 21  28  7
T 2  -9 2 14  29  7
T 3  265 1716 66  48  8
T 3  -125 132 2  60  8
T 3  30 13 1  49  8
T 3  9 22 21  62  8
T 3  2 3 14  63  8
T 4  -21 2431 1001  92  9
T 4  -21 2431 70  112  9
T 4  -265 14586 66  93  9
T 4  125 1122 2  113  9
T 4  -2 13 1  94  9
T 4  -3 143 21  115  9
T 4  -1 33 14  116  9
ROW -3 3 3
T 3  25 1716 6006  50  8
T 4  -21 4862 4290  95  9
T 4  -25 14586 6006  97  9
ROW -3 4 18
T 0  -105 32 2  1  5
T 1  -21 2 3  9  6
T 1  21 4 2  10  6
T 2  -5 4 30  27  7
T 2  7 1 3  28  7
T 2  -9 4 2  29  7
T 3  -35 858 858  53  8
T 3  -70 429 14  60  8
T 3  5 13 30  61  8
T 3  -14 11 3  62  8
T 3  1 3 2  63  8
T 4  -21 2431 715  100  9
T 4  -21 4862 10  112  9
T 4  35 7293 858  102  9
T 4  140 7293 14  113  9
T 4  -1 39 30  114  9
T 4  28 429 3  115  9
T 4  -1 66 2  116  9
ROW -2 -4 13
T 1  -21 4 5  5  6
T 2  -5 4 35  16  7
T 2  7 2 5  17  7
T 3  -35 143 14  38  8
T 3  5 143 2002  46  8
T 3  5 13 35  39  8
T 3  -7 11 5  40  8
T 4  -7 4862 330  76  9
T 4  21 4862 1430  88  9
T 4  70 2431 14  78  9
T 4  -10 2431 2002  90  9
T 4  -1 39 35  79  9
T 4  14 429 5  80  9
ROW -2 -3 21
T 0  105 32 6  0  5
T 1  147 8 1  3  6
T 1  -21 4 6  4  6
T 2  -5 8 10  13  7
T 2  -5 4 21  33  7
T 2  -49 4 1  14  7
T 2  9 4 6  15  7
T 3  -175 858 42  34  8
T 3  -5 286 154  68  8
T 3  5 26 10  35  8
T 3  5 13 21  69  8
T 3  49 22 1  36  8
T 3  -1 3 6  37  8
T 4  -28 2431 30  70  9
T 4  28 2431 429  122  9
T 4  175 7293 42  72  9
T 4  5 2431 154  123  9
T 4  -1 78 10  73  9
T 4  -1 39 21  124  9
T 4  -49 429 1  74  9
T 4  1 66 6  75  9
ROW -2 -2 21
T 0  -105 16 21  2  5
T 1  3 4 21  11  6
T 1  21 2 21  12  6
T 2  5 4 21  30  7
T 2  5 4 15  20  7
T 2  -1 2 21  31  7
T 2  -9 2 21  32  7
T 3  -160 429 21  64  8
T 3  -50 143 11  45  8
T 3  -5 13 21  65  8
T 3  -5 13 15  47  8
T 3  1 11 21  66  8
T 3  2 3 21  67  8
T 4  -84 2431 21  117  9
T 4  14 2431 2145  87  9
T 4  320 7293 21  118  9
T 4  100 2431 11  89  9
T 4  1 39 21  119  9
T 4  1 39 15  91  9
T 4  -2 429 21  120  9
T 4  -1 33 21  121  9
ROW -2 -1 25
T 0  -105 32 42  0  5
T 1  6 1 7  3  6
T 1  -15 8 105  6  6
T 1  21 4 42  4  6
T 2  -5 8 70  13  7
T 2  5 4 15  18  7
T 2  -4 1 7  14  7
T 2  5 4 105  19  7
T 2  -9 4 42  15  7
T 3  205 858 6  34  8
T 3  -215 286 2  41  8
T 3  5 26 70  35  8
T 3  -5 13 15  43  8
T 3  8 11 7  36  8
T 3  -5 22 105  44  8
T 3  1 3 42  37  8
T 4  28 2431 210  70  9
T 4  84 2431 55  81  9
T 4  -205 7293 6  72  9
T 4  215 2431 2  83  9
T 4  -1 78 70  73  9
T 4  1 39 15  85  9
T 4  -16 429 7  74  9
T 4  5 429 105  86  9
T 4  -1 66 42  75  9
ROW -2 0 10
T 1  -15 4 7  8  6
T 2  5 4 1  25  7
T 2  5 2 7  26  7
T 3  20 143 10  57  8
T 3  -5 13 1  58  8
T 3  -5 11 7  59  8
T 4  -35 2431 462  107  9
T 4  -40 2431 10  108  9
T 4  1 39 1  109  9
T 4  10 429 7  110  9
ROW -2 1 25
T 0  -105 32 42  1  5
T 1  15 8 105  7  6
T 1  6 1 7  9  6
T 1  21 4 42  10  6
T 2  -5 4 15  23  7
T 2  -5 8 70  27  7
T 2  -5 4 105  24  7
T 2  -4 1 7  28  7
T 2  -9 4 42  29  7
T 3  215 286 2  54  8
T 3  205 858 6  60  8
T 3  5 13 15  55  8
T 3  5 26 70  61  8
T 3  5 22 105  56  8
T 3  8 11 7  62  8
T 3  1 3 42  63  8
T 4  -84 2431 55  101  9
T 4  28 2431 210  112  9
T 4  -215 2431 2  103  9
T 4  -205 7293 6  113  9
T 4  -1 39 15  104  9
T 4  -1 78 70  114  9
T 4  -5 429 105  105  9
T 4  -16 429 7  115  9
T 4  -1 66 42  116  9
ROW -2 2 6
T 2  -5 4 15  22  7
T 3  50 143 11  51  8
T 3  5 13 15  52  8
T 4  -14 2431 2145  96  9
T 4  -100 2431 11  98  9
T 4  -1 39 15  99  9
ROW -2 3 21
T 0  -105 32 6  1  5
T 1  -147 8 1  9  6
T 1  21 4 6  10  6
T 2  5 4 21  21  7
T 2  5 8 10  27  7
T 2  49 4 1  28  7
T 2  -9 4 6  29  7
T 3  5 286 154  48  8
T 3  175 858 42  60  8
T 3  -5 13 21  49  8
T 3  -5 26 10  61  8
T 3  -49 22 1  62  8
T 3  1 3 6  63  8
T 4  -28 2431 429  92  9
T 4  28 2431 30  112  9
T 4  -5 2431 154  93  9
T 4  -175 7293 42  113  9
T 4  1 39 21  94  9
T 4  1 78 10  114  9
T 4  49 429 1  115  9
T 4  -1 66 6  116  9
ROW -2 4 13
T 1  21 4 5  8  6
T 2  5 4 35  25  7
T 2  -7 2 5  26  7
T 3  -5 143 2002  50  8
T 3  35 143 14  57  8
T 3  -5 13 35  58  8
T 3  7 11 5  59  8
T 4  -21 4862 1430  95  9
T 4  7 4862 330  107  9
T 4  10 2431 2002  97  9
T 4  -70 2431 14  108  9
T 4  1 39 35  109  9
T 4  -14 429 5  110  9
ROW -1 -4 16
T 1  3 8 210  6  6
T 2  5 4 30  18  7
T 2  5 4 6  33  7
T 2  -1 4 210  19  7
T 3  175 143 1  41  8
T 3  70 143 11  68  8
T 3  -5 13 30  43  8
T 3  -5 13 6  69  8
T 3  1 22 210  44  8
T 4  21 4862 110  81  9
T 4  7 4862 6006  122  9
T 4  -350 2431 1  83  9
T 4  -140 2431 11  123  9
T 4  1 39 30  85  9
T 4  1 39 6  124  9
T 4  -1 429 210  86  9
ROW -1 -3 16
T 1  -33 16 70  5  6
T 2  -5 8 10  16  7
T 2  -5 4 30  20  7
T 2  11 8 70  17  7
T 3  35 26 1  38  8
T 3  35 286 22  45  8
T 3  5 26 10  39  8
T 3  5 13 30  47  8
T 3  -1 4 70  40  8
T 4  7 2431 1155  76  9
T 4  7 2431 4290  87  9
