FORMAT 1
KERNEL T
SOURCE (s|S|s)
SHELLS 5 4

# E <id> <alpha> <beta> <mu> <p>
T 5  -2 39 1  127
T 5  -20 429 7  128
ROW -2 1 34
T 0  -1365 32 42  129
T 1  225 8 105  94
T 1  90 1 7  130
T 1  1365 16 42  131
T 2  -85 4 15  95
T 2  -85 8 70  132
T 2  -25 1 105  96
T 2  -80 1 7  133
T 2  -195 4 42  134
T 3  4085 286 2  98
T 3  3895 858 6  135
T 3  255 26 15  99
T 3  255 52 70  136
T 3  75 11 105  100
T 3  240 11 7  137
T 3  65 6 42  138
T 4  -1764 2431 55  102
T 4  588 2431 210  140
T 4  -8170 2431 2  104
T 4  -7790 7293 6  141
T 4  -17 13 15  105
T 4  -17 26 70  142
T 4  -100 143 105  106
T 4  -320 143 7  143
T 4  -65 66 42  144
T 5  168 2431 55  108
T 5  -56 2431 210  146
T 5  430 2431 2  110
T 5  410 7293 6  147
T 5  2 39 15  111
T 5  1 39 70  148
T 5  10 429 105  112
T 5  32 429 7  149
T 5  1 33 42  150
ROW -2 2 9
T 2  -85 4 15  80
T 3  950 143 11  82
T 3  255 26 15  83
T 4  -294 2431 2145  85
T 4  -3800 2431 11  87
T 4  -17 13 15  88
T 5  28 2431 2145  90
T 5  200 2431 11  92
T 5  2 39 15  93
ROW -2 3 29
T 0  -1365 32 6  129
T 1  -2205 8 1  130
T 1  1365 16 6  131
T 2  85 4 21  71
T 2  85 8 10  132
T 2  245 1 1  133
T 2  -195 4 6  134
T 3  95 286 154  72
T 3  3325 858 42  135
T 3  -255 26 21  73
T 3  -255 52 10  136
T 3  -735 11 1  137
T 3  65 6 6  138
T 4  -588 2431 429  74
T 4  588 2431 30  140
T 4  -190 2431 154  75
T 4  -6650 7293 42  141
T 4  17 13 21  76
T 4  17 26 10  142
T 4  980 143 1  143
T 4  -65 66 6  144
T 5  56 2431 429  77
T 5  -56 2431 30  146
T 5  10 2431 154  78
T 5  350 7293 42  147
T 5  -2 39 21  79
T 5  -1 39 10  148
T 5  -98 429 1  149
T 5  1 33 6  150
ROW -2 4 19
T 1  315 4 5  113
T 2  85 4 35  114
T 2  -70 1 5  115
T 3  -95 143 2002  81
T 3  665 143 14  116
T 3  -255 26 35  117
T 3  210 11 5  118
T 4  -441 4862 1430  84
T 4  147 4862 330  120
T 4  380 2431 2002  86
T 4  -2660 2431 14  121
T 4  17 13 35  122
T 4  -280 143 5  123
T 5  21 2431 1430  89
T 5  -7 2431 330  125
T 5  -20 2431 2002  91
T 5  140 2431 14  126
T 5  -2 39 35  127
T 5  28 429 5  128
ROW -1 -4 23
T 1  45 8 210  38
T 2  85 4 30  39
T 2  85 4 6  171
T 2  -5 1 210  40
T 3  3325 143 1  41
T 3  1330 143 11  172
T 3  -255 26 30  43
T 3  -255 26 6  173
T 3  15 11 210  44
T 4  441 4862 110  45
T 4  147 4862 6006  174
T 4  -13300 2431 1  47
T 4  -5320 2431 11  175
T 4  17 13 30  49
T 4  17 13 6  176
T 4  -20 143 210  50
T 5  -21 2431 110  51
T 5  -7 2431 6006  177
T 5  700 2431 1  53
T 5  280 2431 11  178
T 5  -2 39 30  55
T 5  -2 39 6  179
T 5  2 429 210  56
ROW -1 -3 23
T 1  -495 16 70  22
T 2  -85 8 10  23
T 2  -85 4 30  57
T 2  55 2 70  24
T 3  665 26 1  25
T 3  665 286 22  58
T 3  255 52 10  26
T 3  255 26 30  60
T 3  -15 2 70  27
T 4  147 2431 1155  28
T 4  147 2431 4290  61
T 4  -1330 221 1  30
T 4  -1330 2431 22  63
T 4  -17 26 10  31
T 4  -17 13 30  65
T 4  10 13 70  32
T 5  -14 2431 1155  33
T 5  -14 2431 4290  66
T 5  70 221 1  35
T 5  70 2431 22  68
T 5  1 39 10  36
T 5  2 39 30  70
T 5  -1 39 70  37
ROW -1 -2 30
T 0  1365 16 3  0
T 1  1935 16 2  1
T 1  675 16 30  38
T 1  -1365 8 3  2
T 2  -85 2 5  3
T 2  -215 2 2  4
T 2  -75 2 30  40
T 2  195 2 3  5
T 3  2755 858 21  6
T 3  -95 22 7  41
T 3  255 13 5  7
T 3  645 22 2  8
T 3  225 22 30  44
T 3  -65 3 3  9
T 4  2058 2431 15  10
T 4  441 2431 770  45
T 4  -5510 7293 21  12
T 4  190 187 7  47
T 4  -34 13 5  13
T 4  -430 143 2  14
T 4  -150 143 30  50
T 4  65 33 3  15
T 5  -196 2431 15  16
T 5  -42 2431 770  51
T 5  290 7293 21  18
T 5  -10 187 7  53
T 5  4 39 5  19
T 5  43 429 2  20
T 5  5 143 30  56
T 5  -2 33 3  21
ROW -1 -1 34
T 0  -1365 8 6  151
T 1  855 8 6  152
T 1  -1125 16 10  22
T 1  1365 4 6  153
T 2  -85 4 6  154
T 2  85 8 70  23
T 2  -95 1 6  155
T 2  125 2 10  24
T 2  -195 1 6  156
T 3  -665 429 6  157
T 3  -2375 286 7  25
T 3  255 26 6  158
T 3  -255 52 70  26
T 3  285 11 6  159
T 3  -375 22 10  27
T 3  130 3 6  160
T 4  6174 2431 6  161
T 4  1029 2431 165  28
T 4  2660 7293 6  162
T 4  4750 2431 7  30
T 4  -17 13 6  163
T 4  17 26 70  31
T 4  -380 143 6  164
T 4  250 143 10  32
T 4  -130 33 6  165
T 5  -588 2431 6  166
T 5  -98 2431 165  33
T 5  -140 7293 6  167
T 5  -250 2431 7  35
T 5  2 39 6  168
T 5  -1 39 70  36
T 5  38 429 6  169
T 5  -25 429 10  37
T 5  4 33 6  170
ROW -1 0 20
T 0  -1365 16 15  129
T 1  495 8 10  130
T 1  1365 8 15  131
T 2  -85 1 1  132
T 2  -55 1 10  133
T 2  -195 2 15  134
T 3  95 39 105  135
T 3  510 13 1  136
T 3  15 1 10  137
T 3  65 3 15  138
T 4  -10290 2431 3  140
T 4  -380 663 105  141
T 4  -68 13 1  142
T 4  -20 13 10  143
T 4  -65 33 15  144
T 5  980 2431 3  146
T 5  20 663 105  147
T 5  8 39 1  148
T 5  2 39 10  149
T 5  2 33 15  150
ROW -1 1 14
T 1  1125 16 10  113
T 2  -85 8 70  114
T 2  -125 2 10  115
T 3  2375 286 7  116
T 3  255 52 70  117
T 3  375 22 10  118
T 4  -1029 2431 165  120
T 4  -4750 2431 7  121
T 4  -17 26 70  122
T 4  -250 143 10  123
T 5  98 2431 165  125
T 5  250 2431 7  126
T 5  1 39 70  127
T 5  25 429 10  128
ROW -1 2 30
T 0  -1365 16 3  129
T 1  -675 16 30  94
T 1  -1935 16 2  130
T 1  1365 8 3  131
T 2  85 2 5  132
T 2  75 2 30  96
T 2  215 2 2  133
T 2  -195 2 3  134
T 3  95 22 7  98
T 3  -2755 858 21  135
T 3  -255 13 5  136
T 3  -225 22 30  100
T 3  -645 22 2  137
T 3  65 3 3  138
