FORMAT 2
KERNEL J
SOURCE (s|J|s)^(m)
SHELLS 4 6
ORDERS 6 10

# E <id> <alpha> <beta> <mu> <p>
T 4  5 561 210  153  10
T 4  -1 22 6  94  10
T 4  -1 143 42  154  10
T 4  5 858 10  95  10
ROW -3 0 10
T 1  -255 8 1  13  7
T 2  -105 22 3  35  8
T 2  765 44 1  36  8
T 3  63 286 66  71  9
T 3  14 11 3  73  9
T 3  -765 286 1  74  9
T 4  14 4199 3003  126  10
T 4  -63 2717 66  128  10
T 4  -14 187 3  130  10
T 4  17 143 1  131  10
ROW -3 1 25
T 0  105 32 10  3  6
T 1  -15 8 42  12  7
T 1  195 16 6  14  7
T 1  -15 4 10  15  7
T 2  -25 44 210  32  8
T 2  35 44 7  38  8
T 2  45 44 42  33  8
T 2  -585 88 6  39  8
T 2  5 4 10  40  8
T 3  5 286 2310  67  9
T 3  -7 22 21  76  9
T 3  5 33 210  68  9
T 3  -7 33 7  78  9
T 3  -45 286 42  69  9
T 3  45 44 6  79  9
T 3  -5 33 10  80  9
T 4  42 4199 286  121  10
T 4  -84 4199 22  133  10
T 4  -5 2717 2310  122  10
T 4  7 209 21  135  10
T 4  -5 561 210  123  10
T 4  7 561 7  137  10
T 4  1 143 42  124  10
T 4  -1 22 6  138  10
T 4  5 858 10  139  10
ROW -3 2 21
T 0  -105 4 1  4  6
T 1  -45 8 30  16  7
T 1  30 1 1  17  7
T 2  -35 88 462  34  8
T 2  35 44 7  41  8
T 2  135 44 30  42  8
T 2  -10 1 1  43  8
T 3  1 286 3003  70  9
T 3  119 143 3  82  9
T 3  7 66 462  72  9
T 3  -7 33 7  83  9
T 3  -135 286 30  84  9
T 3  40 33 1  85  9
T 4  105 8398 286  125  10
T 4  21 4199 165  141  10
T 4  -1 2717 3003  127  10
T 4  -238 2717 3  143  10
T 4  -7 1122 462  129  10
T 4  7 561 7  144  10
T 4  3 143 30  145  10
T 4  -20 429 1  146  10
ROW -3 3 6
T 2  -45 88 154  37  8
T 3  -21 572 286  75  9
T 3  3 22 154  77  9
T 4  28 4199 1430  132  10
T 4  21 5434 286  134  10
T 4  -3 374 154  136  10
ROW -3 4 18
T 0  -105 8 30  4  6
T 1  -45 8 1  16  7
T 1  15 1 30  17  7
T 2  25 44 210  41  8
T 2  135 44 1  42  8
T 2  -5 1 30  43  8
T 3  -49 572 286  81  9
T 3  175 572 10  82  9
T 3  -5 33 210  83  9
T 3  -135 286 1  84  9
T 3  20 33 30  85  9
T 4  14 4199 7293  140  10
T 4  21 4199 22  141  10
T 4  49 5434 286  142  10
T 4  -175 5434 10  143  10
T 4  5 561 210  144  10
T 4  3 143 1  145  10
T 4  -10 429 30  146  10
ROW -3 5 18
T 0  -105 16 165  3  6
T 1  45 8 11  14  7
T 1  15 2 165  15  7
T 2  35 88 462  38  8
T 2  -135 44 11  39  8
T 2  -5 2 165  40  8
T 3  -7 13 13  86  9
T 3  29 572 154  76  9
T 3  -7 66 462  78  9
T 3  135 286 11  79  9
T 3  10 33 165  80  9
T 4  84 4199 221  147  10
T 4  28 4199 3  133  10
T 4  14 247 13  148  10
T 4  -29 5434 154  135  10
T 4  7 1122 462  137  10
T 4  -3 143 11  138  10
T 4  -5 429 165  139  10
ROW -3 6 11
T 1  15 8 462  13  7
T 2  45 88 154  35  8
T 2  -45 44 462  36  8
T 3  3 26 7  71  9
T 3  -3 22 154  73  9
T 3  45 286 462  74  9
T 4  7 4199 25194  149  10
T 4  7 8398 26  126  10
T 4  -3 247 7  128  10
T 4  3 374 154  130  10
