FORMAT 1
KERNEL S
SOURCE (s|S|s)
SHELLS 5 6

# E <id> <alpha> <beta> <mu> <p>
T 1  -105 2 5  25
T 1  135 2 5  26
T 2  -1785 286 5  27
T 2  90 13 5  28
T 2  315 22 5  29
T 2  -15 1 5  30
T 3  -63 143 5  31
T 3  -63 2431 2431  54
T 3  210 143 5  32
T 3  -12 13 5  33
T 3  -210 143 5  34
T 3  15 11 5  35
T 4  -33 4199 5  36
T 4  3 4199 138567  59
T 4  6 143 5  38
T 4  6 2431 2431  61
T 4  -210 2717 5  39
T 4  8 221 5  40
T 4  7 143 5  41
T 4  -6 143 5  42
T 5  945 16 5  43
ROW -4 -3 27
T 0  -945 8 1  0
T 0  945 32 6  1
T 1  -15 8 10  2
T 1  105 1 1  3
T 1  -135 8 6  4
T 2  210 143 42  5
T 2  -315 572 286  69
T 2  45 52 10  6
T 2  -315 11 1  7
T 2  15 4 6  8
T 3  1827 9724 30  9
T 3  -21 4862 2145  73
T 3  -840 2431 42  10
T 3  315 2431 286  75
T 3  -3 26 10  11
T 3  420 143 1  12
T 3  -15 44 6  13
T 4  30 4199 11  14
T 4  6 4199 24310  79
T 4  -87 4862 30  16
T 4  1 2431 2145  81
T 4  840 46189 42  17
T 4  -315 46189 286  83
T 4  1 221 10  18
T 4  -14 143 1  19
T 4  3 286 6  20
T 5  -945 64 6  21
ROW -4 -2 21
T 0  945 32 10  47
T 1  15 4 70  48
T 1  -105 4 10  49
T 2  -735 286 7  50
T 2  -15 44 1001  88
T 2  -45 26 70  51
T 2  315 44 10  52
T 3  -252 2431 165  53
T 3  63 2431 715  91
T 3  1470 2431 7  55
T 3  15 187 1001  93
T 3  3 13 70  56
T 3  -105 143 10  57
T 4  -9 8398 1430  58
T 4  15 4199 2431  96
T 4  24 2431 165  60
T 4  -6 2431 715  98
T 4  -1470 46189 7  62
T 4  -15 3553 1001  100
T 4  -2 221 70  63
T 4  7 286 10  64
ROW -4 -1 25
T 0  -315 16 6  65
T 1  -55 8 42  66
T 1  -15 8 210  193
T 1  35 2 6  67
T 2  105 286 35  68
T 2  -60 143 385  194
T 2  165 52 42  70
T 2  45 52 210  195
T 2  -105 22 6  71
T 3  1197 9724 154  72
T 3  189 9724 4290  196
T 3  -210 2431 35  74
T 3  240 2431 385  197
T 3  -11 26 42  76
T 3  -3 26 210  198
T 3  70 143 6  77
T 4  6 4199 2002  78
T 4  12 4199 2145  199
T 4  -57 4862 154  80
T 4  -9 4862 4290  200
T 4  210 46189 35  82
T 4  -240 46189 385  201
T 4  11 663 42  84
T 4  1 221 210  202
T 4  -7 429 6  85
ROW -4 0 10
T 1  60 1 1  112
T 2  105 286 165  114
T 2  -360 13 1  115
T 3  -441 2431 143  117
T 3  -210 2431 165  119
T 3  48 13 1  120
T 4  -21 4199 715  122
T 4  42 2431 143  124
T 4  210 46189 165  126
T 4  -32 221 1  127
ROW -4 1 25
T 0  -315 16 6  128
T 1  15 8 210  102
T 1  -55 8 42  129
T 1  35 2 6  130
T 2  60 143 385  103
T 2  105 286 35  132
T 2  -45 52 210  104
