FORMAT 2
KERNEL J
SOURCE (s|J|s)^(m)
SHELLS 6 5
ORDERS 6 11

# E <id> <alpha> <beta> <mu> <p>
T 5  -75 4199 10  172  11
T 5  -3 221 66  173  11
ROW -5 2 21
T 1  -315 16 33  7  7
T 2  -5 4 231  24  8
T 2  35 2 33  25  8
T 3  -105 104 130  50  9
T 3  375 1144 770  55  9
T 3  15 26 231  56  9
T 3  -105 22 33  57  9
T 4  21 221 39  95  10
T 4  189 442 7  105  10
T 4  105 442 130  97  10
T 4  -375 4862 770  106  10
T 4  -1 13 231  107  10
T 4  70 143 33  108  10
T 5  36 4199 442  161  11
T 5  12 4199 91  175  11
T 5  -2 221 39  163  11
T 5  -9 221 7  177  11
T 5  -105 8398 130  165  11
T 5  375 92378 770  178  11
T 5  2 663 231  179  11
T 5  -7 429 33  180  11
ROW -5 3 18
T 1  315 16 33  8  7
T 2  -5 4 231  26  8
T 2  -35 2 33  27  8
T 3  -30 143 2310  58  9
T 3  15 26 231  59  9
T 3  105 22 33  60  9
T 4  -21 442 221  100  10
T 4  -231 442 2  109  10
T 4  120 2431 2310  110  10
T 4  -1 13 231  111  10
T 4  -70 143 33  112  10
T 5  9 4199 12597  168  11
T 5  -9 4199 39  182  11
T 5  1 221 221  170  11
T 5  11 221 2  183  11
T 5  -120 46189 2310  184  11
T 5  2 663 231  185  11
T 5  7 429 33  186  11
ROW -5 4 19
T 0  -945 64 110  1  6
T 1  945 32 110  10  7
T 2  45 8 66  28  8
T 2  -135 8 110  30  8
T 3  15 52 770  61  9
T 3  -135 52 66  62  9
T 3  15 4 110  64  9
T 4  -63 442 221  104  10
T 4  63 748 22  113  10
T 4  -15 221 770  114  10
T 4  9 26 66  115  10
T 4  -15 44 110  117  10
T 5  6 4199 41990  174  11
T 5  6 4199 15  188  11
T 5  3 221 221  176  11
T 5  -3 374 22  189  11
T 5  15 4199 770  190  11
T 5  -3 221 66  191  11
T 5  3 286 110  193  11
ROW -5 5 1
T 5  3 4199 176358  181  11
ROW -4 -5 24
T 0  945 64 2  0  6
T 1  945 16 3  3  7
T 1  -945 32 2  4  7
T 2  75 8 30  13  8
T 2  -105 2 3  14  8
T 2  135 8 2  15  8
T 3  525 286 14  34  9
T 3  -225 52 30  35  9
T 3  315 22 3  36  9
T 3  -15 4 2  37  9
T 4  945 9724 10  70  10
T 4  -63 4862 12155  80  10
T 4  -1050 2431 14  71  10
T 4  15 26 30  72  10
T 4  -210 143 3  73  10
T 4  15 44 2  74  10
T 5  3 4199 33  125  11
T 5  -3 4199 92378  139  11
T 5  -45 4862 10  127  11
T 5  3 2431 12155  141  11
T 5  1050 46189 14  128  11
T 5  -5 221 30  129  11
T 5  7 143 3  130  11
T 5  -3 286 2  131  11
ROW -4 -4 24
T 0  -945 16 5  2  6
T 1  -945 16 5  11  7
T 1  945 8 5  12  7
T 2  15 1 5  31  8
T 2  105 2 5  32  8
T 2  -135 2 5  33  8
T 3  1785 286 5  65  9
T 3  -90 13 5  66  9
T 3  -315 22 5  67  9
T 3  15 1 5  68  9
T 4  63 143 5  118  10
T 4  63 2431 2431  85  10
T 4  -210 143 5  119  10
T 4  12 13 5  120  10
T 4  210 143 5  121  10
T 4  -15 11 5  122  10
T 5  33 4199 5  194  11
T 5  -3 4199 138567  146  11
T 5  -6 143 5  195  11
T 5  -6 2431 2431  148  11
T 5  210 2717 5  196  11
T 5  -8 221 5  197  11
T 5  -7 143 5  198  11
T 5  6 143 5  199  11
ROW -4 -3 27
T 0  -2835 64 10  0  6
T 1  315 16 15  3  7
T 1  2835 32 10  4  7
T 2  65 8 6  13  8
T 2  -35 2 15  14  8
T 2  -405 8 10  15  8
T 3  -45 44 70  34  9
T 3  -105 572 4290  47  9
T 3  -15 4 6  35  9
T 3  105 22 15  36  9
T 3  45 4 10  37  9
T 4  -7707 9724 2  70  10
T 4  609 4862 143  89  10
T 4  45 187 70  71  10
T 4  105 2431 4290  91  10
